Pe mi1 mi2 mi3
7.878021212121212313e-01 9.545464848880766406e-02 2.157522916837142646e-01 2.543370460555391954e-01
7.979020202020201680e-01 1.031642675579787782e-01 2.325282993692189826e-01 2.738957376765707163e-01
8.080019191919192156e-01 1.112992695022506501e-01 2.501173907034535127e-01 2.943673725196445101e-01
8.181018181818181523e-01 1.198856126852377302e-01 2.685552000838701825e-01 3.157880013912768291e-01
8.282017171717171999e-01 1.289527929870618594e-01 2.878816670305065495e-01 3.381979977673086335e-01
8.383016161616161366e-01 1.385345194121250789e-01 3.081417876339185291e-01 3.616428096522706359e-01
8.484015151515151842e-01 1.486695677889213751e-01 3.293865550000186770e-01 3.861739004581460910e-01
8.585014141414141209e-01 1.594028737420123965e-01 3.516741518590664750e-01 4.118499420708905956e-01
8.686013131313131685e-01 1.707869528540086335e-01 3.750714856970593925e-01 4.387383504641734211e-01
8.787012121212121052e-01 1.828837772710488752e-01 3.996561986819361367e-01 4.669172961340350980e-01
8.888011111111111529e-01 1.957673037843363217e-01 4.255193511809157170e-01 4.964783881521832587e-01
8.989010101010100895e-01 2.095269566364391101e-01 4.527690868497221688e-01 5.275303398201572902e-01
9.090009090909091372e-01 2.242725533508541091e-01 4.815357735959544527e-01 5.602041102282303564e-01
9.191008080808080738e-01 2.401414930691295468e-01 5.119794475936860767e-01 5.946603488978472463e-01
9.292007070707071215e-01 2.573096528450943832e-01 5.443010157622072409e-01 6.311005989223681389e-01
9.393006060606060581e-01 2.760087020201929531e-01 5.787599398892186997e-01 6.697849817884145018e-01
9.494005050505051058e-01 2.965553225764579470e-01 6.157039076257712074e-01 7.110618691072562170e-01
9.595004040404040424e-01 3.194046231484517495e-01 6.556228013668863319e-01 7.554218522724877038e-01
9.696003030303029790e-01 3.452593296865213990e-01 6.992585799192814200e-01 8.036076249479072731e-01
9.797002020202020267e-01 3.753344005471718203e-01 7.478707651377094479e-01 8.568794705697962977e-01
9.898001010101009634e-01 4.122252031180179133e-01 8.041057336525210264e-01 9.178845549891143651e-01
9.999000000000000110e-01 4.677761027773988944e-01 8.798667559033763741e-01 9.985269664716719396e-01
