SNR M=2 M=4 M=8 M=16 M=32 M=64
3.000000000000000000e+01 0.000000000000000000e+00 4.130436177909233230e-89 1.477090091002114054e-22 1.153300821989877799e-06 1.496133451442240372e-02 2.225714430986370784e-01
3.100000000000000000e+01 0.000000000000000000e+00 1.191903910136036533e-111 5.828374601063999366e-28 4.922974351211554973e-08 6.375987669410706181e-03 1.716899286079688891e-01
3.200000000000000000e+01 0.000000000000000000e+00 5.166725375483347935e-140 9.441207041684062685e-35 9.536396992436917411e-10 2.225313250178456975e-03 1.255477081342118717e-01
3.300000000000000000e+01 0.000000000000000000e+00 1.045071966255359843e-175 2.747172840032345534e-43 6.836209897359739198e-12 6.046833298265224957e-04 8.593634750461295879e-02
3.400000000000000000e+01 0.000000000000000000e+00 1.246972527923377007e-220 5.072269419154335794e-54 1.402640308466090768e-14 1.200223143433882438e-04 5.419475648857509376e-02
3.500000000000000000e+01 0.000000000000000000e+00 3.578335473672172000e-277 1.603355221214084667e-67 5.960461108925108519e-18 1.605787353202031031e-05 3.086591087083330465e-02
3.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.667617722650565660e-84 3.490687713741935074e-22 1.308646114316872320e-06 1.548189067834714917e-02
3.700000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 7.155853640504441473e-106 1.686956647699041333e-27 5.718076838687825520e-08 6.625760379164650701e-03
3.800000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 9.278825537154741524e-133 3.527191204191434914e-34 1.140687923654805881e-09 2.324754840215067283e-03
3.900000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.353361520316036059e-166 1.415232597589224476e-42 8.485047989593876180e-12 6.359098428486906207e-04
4.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.525265260655063646e-209 3.915712559965081082e-53 1.823864515757671154e-14 1.272761111424477087e-04
