# SNRdB M2 M4 M8 M16 M32 M64
1.800000000000000000e+01 1.396014310906752619e-29 9.845002438797982650e-16 5.722282286620260786e-06 7.103064100264832974e-03 5.417277607119989902e-02 9.691591355003810471e-02
1.900000000000000000e+01 1.001073973570861248e-36 2.494516717859467587e-19 4.704023174727235467e-07 3.483544235551121887e-03 4.333433919197571260e-02 8.937887184329307289e-02
2.000000000000000000e+01 1.044243791881272283e-45 7.619853024160582756e-24 2.077942250179180655e-08 1.449490906076750848e-03 3.313889663946314318e-02 8.128855182643950072e-02
2.100000000000000000e+01 5.299697228870345920e-57 1.622961926539010295e-29 4.202509643135295087e-10 4.909683652691641375e-04 2.397444093735106793e-02 7.270325467619902227e-02
2.200000000000000000e+01 3.296088119284474207e-71 1.209743769968189185e-36 3.180487892517969920e-12 1.284928167268158865e-04 1.619395329315924739e-02 6.372308100297284505e-02
2.300000000000000000e+01 4.427638498434776539e-89 1.324919193483019133e-45 6.986631747426031446e-15 2.432958904343712165e-05 1.004554355213064902e-02 5.449868534016241023e-02
2.400000000000000000e+01 1.444419065772612868e-111 7.149524665981230640e-57 3.235280892606596877e-18 3.067835328324242856e-06 5.605030919075279852e-03 4.523714196975301555e-02
2.500000000000000000e+01 7.306969184647900436e-140 4.803529862225947607e-71 2.111095049430773527e-22 2.320714409169603564e-07 2.740260605520516545e-03 3.620131126588401610e-02
2.600000000000000000e+01 1.795163227120089849e-175 7.111353142372476142e-89 1.169015510111866053e-27 9.233590369583803199e-09 1.135750063425637613e-03 2.769805436523542497e-02
2.700000000000000000e+01 2.735979965668846528e-220 2.621940503261358555e-111 2.901135569822554208e-34 1.637234542956440911e-10 3.828133326660624171e-04 2.005073335673060453e-02
2.800000000000000000e+01 1.068460737556355705e-276 1.547312199175855901e-139 1.444294691112135532e-42 1.050028054957095709e-12 9.957173533531879853e-05 1.355407366280495830e-02
2.900000000000000000e+01 0.000000000000000000e+00 4.615092938953258534e-175 5.243041434239715379e-53 1.872806739027117124e-15 1.870819225966692141e-05 8.416022199041431340e-03
3.000000000000000000e+01 0.000000000000000000e+00 8.979163924004651781e-220 3.881856381567210570e-66 6.671918763686756161e-19 2.336184504724578538e-06 4.701432952024830678e-03
3.100000000000000000e+01 0.000000000000000000e+00 4.768546707222628202e-276 1.178790326175588381e-82 3.129621793485414152e-23 1.745778029004526812e-07 2.301928408024490891e-03
3.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.949009561452024004e-103 1.143793788403856079e-28 6.840097671030641139e-09 9.558568970371200853e-04
3.300000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.380818908040982177e-129 1.682392650468160847e-35 1.189608549397783607e-10 3.229327475655750400e-04
3.400000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.708053827990203193e-162 4.335490543347909504e-44 7.446046581362886938e-13 8.424305874797694178e-05
3.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 6.563256521697486204e-204 6.869907248582786457e-55 1.288003687922142694e-15 1.588649846275003581e-05
3.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.910578350097957461e-256 1.791357533921899918e-68 4.415030189240697662e-19 1.993020352646368243e-06
3.700000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.462207045180124866e-85 1.972884422298221447e-23 1.498022518436133339e-07
3.800000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.624716693605199420e-107 6.783132650670834002e-29 5.912443358181552592e-09
3.900000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.084359626628933113e-134 9.238810166628050013e-36 1.037776108099910168e-10
4.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.673378853269172678e-168 2.161165530541006436e-44 6.571316032898703282e-13
